sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-2-5,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-2-6,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-2-6,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3,runtime,57.42400600512823
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-1,f1,0.888888888888889
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-1,precision,1.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-1,recall,1.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-2,f1,0.050805687203791465
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-3,f1,0.09995355318160705
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-4,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4,runtime,69.52334024508794
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4,llm_code_eval,"""[false, false, false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-1,success,1
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-2,f1,0.05161290322580645
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-3,f1,0.8
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-3,precision,1.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-3,recall,1.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-4,f1,0.04760981017043092
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-4,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-4,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-5,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-5,f1,0.07801137747697003
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-5,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-5,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-6,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-6,f1,0.0425531914893617
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-6,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-6,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-7,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-7,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-7,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-8,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-8,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-easy-4-8,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5,runtime,67.54090525706609
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5,llm_code_eval,"""[false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-1,f1,0.30960608154803043
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-1,precision,0.5454545454545454
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-1,recall,1.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-2,f1,0.05030128373067854
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-3,f1,0.04760981017043092
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-4,f1,0.050236621769202766
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-4,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-4,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-5,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-5,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-6,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-6,f1,0.048780487804878044
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-6,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-6,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-5-6,total_token_usage_answers,0
